90 cm decrements in Y axis
INFO:root:Datetime: 28/07/2021 15:05:27 | position: 0.27 10.75 0.07
INFO:root:Datetime: 28/07/2021 15:05:27 | position: 0.28 10.72 0.05
INFO:root:Datetime: 28/07/2021 15:05:27 | position: 0.26 10.74 0.05
INFO:root:Datetime: 28/07/2021 15:05:27 | position: 0.28 10.74 0.05
INFO:root:Datetime: 28/07/2021 15:05:28 | position: 0.32 10.80 0.04
INFO:root:Datetime: 28/07/2021 15:05:28 | position: 0.29 10.83 0.05
INFO:root:Datetime: 28/07/2021 15:05:28 | position: 0.28 10.84 0.05
INFO:root:Datetime: 28/07/2021 15:05:29 | position: 0.27 10.77 0.06
INFO:root:Datetime: 28/07/2021 15:05:29 | position: 0.27 10.75 0.07
INFO:root:Datetime: 28/07/2021 15:05:29 | position: 0.32 10.75 0.07
INFO:root:Datetime: 28/07/2021 15:05:30 | position: 0.27 10.72 0.07
INFO:root:Datetime: 28/07/2021 15:05:30 | position: 0.28 10.75 0.06
INFO:root:Datetime: 28/07/2021 15:05:30 | position: 0.37 10.77 0.06
INFO:root:Datetime: 28/07/2021 15:05:30 | position: 0.32 10.78 0.05
INFO:root:Datetime: 28/07/2021 15:05:31 | position: 0.31 10.77 0.04
INFO:root:Datetime: 28/07/2021 15:05:31 | position: 0.29 10.78 0.06
INFO:root:Datetime: 28/07/2021 15:05:31 | position: 0.31 10.77 0.05
INFO:root:Datetime: 28/07/2021 15:05:32 | position: 0.33 10.72 0.04
INFO:root:Datetime: 28/07/2021 15:05:32 | position: 0.32 10.73 0.05
INFO:root:Datetime: 28/07/2021 15:05:32 | position: 0.30 10.72 0.07
INFO:root:Datetime: 28/07/2021 15:05:33 | position: 0.30 10.82 0.07
INFO:root:Datetime: 28/07/2021 15:05:33 | position: 0.30 10.89 0.07
INFO:root:Datetime: 28/07/2021 15:05:33 | position: 0.20 11.02 0.07
INFO:root:Datetime: 28/07/2021 15:05:33 | position: 0.16 11.09 0.12
INFO:root:Datetime: 28/07/2021 15:05:34 | position: 0.11 10.69 0.16
INFO:root:Datetime: 28/07/2021 15:05:34 | position: -0.02 10.41 0.14
INFO:root:Datetime: 28/07/2021 15:05:34 | position: -0.04 10.19 0.09
INFO:root:Datetime: 28/07/2021 15:05:35 | position: -0.06 10.02 0.07
INFO:root:Datetime: 28/07/2021 15:05:35 | position: -0.40 9.92 0.12
INFO:root:Datetime: 28/07/2021 15:05:35 | position: -0.50 9.93 0.14
INFO:root:Datetime: 28/07/2021 15:05:36 | position: -0.49 9.92 0.11
INFO:root:Datetime: 28/07/2021 15:05:36 | position: -0.07 9.86 0.08
INFO:root:Datetime: 28/07/2021 15:05:36 | position: 0.23 9.84 0.05
INFO:root:Datetime: 28/07/2021 15:05:36 | position: 0.31 9.80 0.07
INFO:root:Datetime: 28/07/2021 15:05:37 | position: 0.40 9.81 0.08
INFO:root:Datetime: 28/07/2021 15:05:37 | position: 0.45 9.88 0.06
INFO:root:Datetime: 28/07/2021 15:05:37 | position: 0.48 9.90 0.04
INFO:root:Datetime: 28/07/2021 15:05:38 | position: 0.47 9.89 0.03
INFO:root:Datetime: 28/07/2021 15:05:38 | position: 0.49 9.89 0.03
INFO:root:Datetime: 28/07/2021 15:05:38 | position: 0.47 9.83 0.07
INFO:root:Datetime: 28/07/2021 15:05:39 | position: 0.47 9.82 0.07
INFO:root:Datetime: 28/07/2021 15:05:39 | position: 0.49 9.86 0.06
INFO:root:Datetime: 28/07/2021 15:05:39 | position: 0.50 9.84 0.07
INFO:root:Datetime: 28/07/2021 15:05:39 | position: 0.47 9.83 0.07
INFO:root:Datetime: 28/07/2021 15:05:40 | position: 0.46 9.84 0.07
INFO:root:Datetime: 28/07/2021 15:05:40 | position: 0.47 9.84 0.05
INFO:root:Datetime: 28/07/2021 15:05:40 | position: 0.47 9.86 0.05
INFO:root:Datetime: 28/07/2021 15:05:41 | position: 0.49 9.85 0.07
INFO:root:Datetime: 28/07/2021 15:05:41 | position: 0.45 9.86 0.06
INFO:root:Datetime: 28/07/2021 15:05:41 | position: 0.48 9.83 0.06
INFO:root:Datetime: 28/07/2021 15:05:42 | position: 0.49 9.85 0.04
INFO:root:Datetime: 28/07/2021 15:05:42 | position: 0.51 9.84 0.04
INFO:root:Datetime: 28/07/2021 15:05:42 | position: 0.52 9.82 0.06
INFO:root:Datetime: 28/07/2021 15:05:42 | position: 0.47 9.83 0.08
INFO:root:Datetime: 28/07/2021 15:05:43 | position: 0.49 9.83 0.07
INFO:root:Datetime: 28/07/2021 15:05:43 | position: 0.51 9.84 0.05
INFO:root:Datetime: 28/07/2021 15:05:43 | position: 0.47 9.81 0.06
INFO:root:Datetime: 28/07/2021 15:05:44 | position: 0.46 9.81 0.09
INFO:root:Datetime: 28/07/2021 15:05:44 | position: 0.48 9.87 0.05
