INFO:root:Datetime: 28/07/2021 14:58:39 | position: 1.12 11.56 0.82
INFO:root:Datetime: 28/07/2021 14:58:39 | position: 1.15 11.34 0.80
INFO:root:Datetime: 28/07/2021 14:58:40 | position: 0.90 11.12 0.66
INFO:root:Datetime: 28/07/2021 14:58:40 | position: 1.06 10.55 0.76
INFO:root:Datetime: 28/07/2021 14:58:40 | position: 1.08 10.04 0.94
INFO:root:Datetime: 28/07/2021 14:58:41 | position: 1.01 9.87 0.82
INFO:root:Datetime: 28/07/2021 14:58:41 | position: 1.09 9.62 0.74
INFO:root:Datetime: 28/07/2021 14:58:41 | position: 1.29 9.06 0.82
INFO:root:Datetime: 28/07/2021 14:58:41 | position: 1.33 8.63 0.75
INFO:root:Datetime: 28/07/2021 14:58:42 | position: 1.28 8.48 0.75
INFO:root:Datetime: 28/07/2021 14:58:42 | position: 1.29 8.04 0.75
INFO:root:Datetime: 28/07/2021 14:58:42 | position: 0.96 7.44 0.41
INFO:root:Datetime: 28/07/2021 14:58:43 | position: 1.45 7.33 0.38
INFO:root:Datetime: 28/07/2021 14:58:43 | position: 1.59 7.17 0.42
INFO:root:Datetime: 28/07/2021 14:58:43 | position: 0.99 6.67 0.79
INFO:root:Datetime: 28/07/2021 14:58:44 | position: 0.81 6.34 0.90
INFO:root:Datetime: 28/07/2021 14:58:44 | position: 1.36 6.27 0.68
INFO:root:Datetime: 28/07/2021 14:58:44 | position: 1.69 6.27 0.60
INFO:root:Datetime: 28/07/2021 14:58:44 | position: 1.80 6.28 0.42
INFO:root:Datetime: 28/07/2021 14:58:45 | position: 1.97 6.24 0.34
INFO:root:Datetime: 28/07/2021 14:58:45 | position: 1.89 6.19 0.47
INFO:root:Datetime: 28/07/2021 14:58:45 | position: 1.94 6.19 0.52
INFO:root:Datetime: 28/07/2021 14:58:46 | position: 1.93 6.18 0.56
INFO:root:Datetime: 28/07/2021 14:58:46 | position: 1.89 6.16 0.58
